source,category,width,height,off_grid,strategy,slices_written,padded_slices,manual_review,notes,output_dir
assets/sprites/npcs/_imports/spr_npc_import_blacksmith_bigsheet_mv.png,npcs,1800,1104,yes,grid_12x8,96,96,no,12x8 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_blacksmith_bigsheet_mv
assets/sprites/npcs/_imports/spr_npc_import_blacksmith_bigsheet_vx.png,npcs,1200,736,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/npcs/_imports/spr_npc_import_blacksmith_singlesheet_1.png,npcs,78,144,yes,grid_3x4,12,12,no,3x4 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_blacksmith_singlesheet_1
assets/sprites/npcs/_imports/spr_npc_import_blacksmith_singlesheet_mv.png,npcs,234,432,yes,grid_3x4,12,12,no,3x4 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_blacksmith_singlesheet_mv
assets/sprites/npcs/_imports/spr_npc_import_blacksmith_singlesheet_vx.png,npcs,156,288,yes,grid_3x4,12,12,no,3x4 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_blacksmith_singlesheet_vx
assets/sprites/npcs/_imports/spr_npc_import_down_npc_a_1.png,npcs,312,288,yes,grid_12x8,96,96,no,12x8 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_down_npc_a_1
assets/sprites/npcs/_imports/spr_npc_import_down_npc_a_2.png,npcs,624,576,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/npcs/_imports/spr_npc_import_down_npc_a_3.png,npcs,936,864,yes,grid_12x8,96,96,no,12x8 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_down_npc_a_3
assets/sprites/npcs/_imports/spr_npc_import_down_npc_b_1.png,npcs,312,288,yes,grid_12x8,96,96,no,12x8 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_down_npc_b_1
assets/sprites/npcs/_imports/spr_npc_import_down_npc_b_2.png,npcs,624,576,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/npcs/_imports/spr_npc_import_down_npc_b_3.png,npcs,936,864,yes,grid_12x8,96,96,no,12x8 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_down_npc_b_3
assets/sprites/npcs/_imports/spr_npc_import_ffiii_npcs.png,npcs,513,279,yes,"components_bg_key(140,106,127)+dilate2",24,24,no,component_count=24,assets/sprites/npcs/_slices/spr_npc_import_ffiii_npcs
assets/sprites/npcs/_imports/spr_npc_import_mobile_final_fantasy_record_keeper_non_playable_characters_final_fantasy_iv_npcs.png,npcs,455,266,yes,"components_bg_key(140,106,127)+dilate2",19,19,no,component_count=19,assets/sprites/npcs/_slices/spr_npc_import_mobile_final_fantasy_record_keeper_non_playable_characters_final_fantasy_iv_npcs
assets/sprites/npcs/_imports/spr_npc_import_mobile_final_fantasy_record_keeper_non_playable_characters_final_fantasy_vii_npcs.png,npcs,689,491,yes,"components_bg_key(140,106,127)+dilate2",47,47,no,component_count=47,assets/sprites/npcs/_slices/spr_npc_import_mobile_final_fantasy_record_keeper_non_playable_characters_final_fantasy_vii_npcs
assets/sprites/npcs/_imports/spr_npc_import_mobile_final_fantasy_record_keeper_non_playable_characters_final_fantasy_x_npcs.png,npcs,1157,812,yes,"components_bg_key(140,106,127)+dilate2",68,68,no,component_count=68,assets/sprites/npcs/_slices/spr_npc_import_mobile_final_fantasy_record_keeper_non_playable_characters_final_fantasy_x_npcs
assets/sprites/npcs/_imports/spr_npc_import_mobile_final_fantasy_record_keeper_non_playable_characters_final_fantasy_xiii_npcs.png,npcs,504,418,yes,"components_bg_key(140,106,127)+dilate2",26,26,no,component_count=26,assets/sprites/npcs/_slices/spr_npc_import_mobile_final_fantasy_record_keeper_non_playable_characters_final_fantasy_xiii_npcs
assets/sprites/npcs/_imports/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs.png,npcs,920,714,yes,components_alpha,273,272,no,component_count=273,assets/sprites/npcs/_slices/spr_npc_import_mobile_octopath_traveler_champions_of_the_continent_non_playable_characters_final_fantasy_iv_collaboration_npcs
assets/sprites/npcs/_imports/spr_npc_import_npc_crowd_3.png,npcs,288,384,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/npcs/_imports/spr_npc_import_npcactions_1.png,npcs,81,144,yes,grid_3x4,12,12,no,3x4 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_npcactions_1
assets/sprites/npcs/_imports/spr_npc_import_npcactions_2.png,npcs,162,288,yes,grid_3x4,12,12,no,3x4 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_npcactions_2
assets/sprites/npcs/_imports/spr_npc_import_npcactions_3.png,npcs,243,432,yes,grid_3x4,12,12,no,3x4 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_npcactions_3
assets/sprites/npcs/_imports/spr_npc_import_npcactionsb_1.png,npcs,81,144,yes,grid_3x4,12,12,no,3x4 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_npcactionsb_1
assets/sprites/npcs/_imports/spr_npc_import_npcactionsb_2.png,npcs,162,288,yes,grid_3x4,12,12,no,3x4 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_npcactionsb_2
assets/sprites/npcs/_imports/spr_npc_import_npcactionsb_3.png,npcs,243,432,yes,grid_3x4,12,12,no,3x4 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_npcactionsb_3
assets/sprites/npcs/_imports/spr_npc_import_oldnpcs_1.png,npcs,312,288,yes,grid_12x8,96,96,no,12x8 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_oldnpcs_1
assets/sprites/npcs/_imports/spr_npc_import_oldnpcs_2.png,npcs,624,576,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/npcs/_imports/spr_npc_import_oldnpcs_3.png,npcs,936,864,yes,grid_12x8,96,96,no,12x8 grid from filename hint,assets/sprites/npcs/_slices/spr_npc_import_oldnpcs_3
assets/sprites/npcs/_imports/spr_npc_import_vv_noshadow_spritesheet.png,npcs,224,256,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/npcs/_imports/spr_npc_import_vv_spritesheet.png,npcs,224,256,no,skipped_on_grid,0,0,no,already aligned to pad grid,
