"LastWriteTime","Length","Name","FullName"
"2/9/2026 12:16:55 AM","289200","SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Astral Castle Town (Unique Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Astral Castle Town (Unique Interior).png"
"2/9/2026 12:16:45 AM","775444","SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Astral Castle Town (Exterior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Astral Castle Town (Exterior).png"
"2/9/2026 12:16:27 AM","62208","SNES - Star Ocean (JPN) - Other Maps - Ecdart, Otanim & Tropp (Shared Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Other Maps - Ecdart, Otanim & Tropp (Shared Interior).png"
"2/9/2026 12:16:17 AM","22965","SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Otanim & Tropp (Shared Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Otanim & Tropp (Shared Interior).png"
"2/9/2026 12:16:08 AM","62264","SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Otanim (Unique Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Otanim (Unique Interior).png"
"2/9/2026 12:16:01 AM","68054","SNES - Star Ocean (JPN) - Van Kingdom - Maps - Ecdart (Unique Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Van Kingdom - Maps - Ecdart (Unique Interior).png"
"2/9/2026 12:15:54 AM","106439","SNES - Star Ocean (JPN) - Sylvalant Kingdom - Maps - Dulce (Unique Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Sylvalant Kingdom - Maps - Dulce (Unique Interior).png"
"2/9/2026 12:15:39 AM","111227","SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Tropp (Unique Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Tropp (Unique Interior).png"
"2/9/2026 12:15:18 AM","333484","SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Parj Temple (Front Door, Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Astral Kingdom - Maps - Parj Temple (Front Door, Interior).png"
"2/9/2026 12:14:59 AM","19489","SNES - Dragon Quest 3 (JPN) - Non-Playable Characters - Male NPCs.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Dragon Quest 3 (JPN) - Non-Playable Characters - Male NPCs.png"
"2/9/2026 12:14:45 AM","49722","SNES - Star Ocean (JPN) - Moore Kingdom - Maps - Velcant Pirates' Cave (Exterior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Moore Kingdom - Maps - Velcant Pirates' Cave (Exterior).png"
"2/9/2026 12:14:30 AM","14500","SNES - Dragon Quest 3 (JPN) - Non-Playable Characters - Female NPCs.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Dragon Quest 3 (JPN) - Non-Playable Characters - Female NPCs.png"
"2/9/2026 12:14:07 AM","55536","SNES - Star Ocean (JPN) - Non-Playable Characters - NPCs 1.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Non-Playable Characters - NPCs 1.png"
"2/9/2026 12:13:04 AM","15328","SNES - Star Ocean (JPN) - Non-Playable Characters - Antagonists.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Non-Playable Characters - Antagonists.png"
"2/9/2026 12:12:47 AM","43971","SNES - Star Ocean (JPN) - Non-Playable Characters - NPCs 2.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Non-Playable Characters - NPCs 2.png"
"2/9/2026 12:12:31 AM","64225","SNES - Star Ocean (JPN) - Playable Characters - Protagonists 1.png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Star Ocean (JPN) - Playable Characters - Protagonists 1.png"
"2/9/2026 12:11:44 AM","104038","SNES - Nekketsu Tairiku_ Burning Heroes (JPN) - Maps - Fire City & Fire Castle (Exterior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Nekketsu Tairiku_ Burning Heroes (JPN) - Maps - Fire City & Fire Castle (Exterior).png"
"2/9/2026 12:11:34 AM","67367","SNES - Nekketsu Tairiku_ Burning Heroes (JPN) - Maps - Fire Castle (Interior).png","C:\Users\Doc\Desktop\game\assets\AssetsForMyGame\SNES - Nekketsu Tairiku_ Burning Heroes (JPN) - Maps - Fire Castle (Interior).png"
